Timestamp,Counts (55)
2021-11-24T20_47_00,11
2021-11-24T21_02_00,10
2021-11-24T21_17_00,14
2021-11-24T21_32_00,12
2021-11-24T21_47_00,9
2021-11-24T22_02_00,6
2021-11-24T22_17_00,6
2021-11-24T22_32_00,7
2021-11-24T22_47_00,8
2021-11-24T23_02_00,5
2021-11-24T23_17_00,5
2021-11-24T23_32_00,6
2021-11-24T23_47_00,3
2021-11-25T00_02_00,3
2021-11-25T00_17_00,1
2021-11-25T00_32_00,4
2021-11-25T00_47_00,6
2021-11-25T01_02_00,5
2021-11-25T01_17_00,3
2021-11-25T01_32_00,3
2021-11-25T01_47_00,3
2021-11-25T02_02_00,2
2021-11-25T02_17_00,2
2021-11-25T02_32_00,2
2021-11-25T03_17_00,3
2021-11-25T03_32_00,5
2021-11-25T03_47_00,3
2021-11-25T04_02_00,7
2021-11-25T04_17_00,8
2021-11-25T04_32_00,8
2021-11-25T04_47_00,7
2021-11-25T05_02_00,5
2021-11-25T05_17_00,4
2021-11-25T05_32_00,3
2021-11-25T05_47_00,1
2021-11-25T06_02_00,10
2021-11-25T06_17_00,16
2021-11-25T06_32_00,20
2021-11-25T06_47_00,22
2021-11-25T07_02_00,23
2021-11-25T07_17_00,27
2021-11-25T07_32_00,30
2021-11-25T07_47_00,30
2021-11-25T08_02_00,31
2021-11-25T08_17_00,31
2021-11-25T08_32_00,31
2021-11-25T08_47_00,32
2021-11-25T09_02_00,31
2021-11-25T09_17_00,28
2021-11-25T10_02_00,29
2021-11-25T10_17_00,32
2021-11-25T10_32_00,29
2021-11-25T10_47_00,29
2021-11-25T11_02_00,25
2021-11-25T11_17_00,26
2021-11-25T11_32_00,9
2021-11-25T11_47_00,23
2021-11-25T12_02_00,24
2021-11-25T12_17_00,11
2021-11-25T12_32_00,24
2021-11-25T12_47_00,25
2021-11-25T13_02_00,37
2021-11-25T13_17_00,37
2021-11-25T13_32_00,35
2021-11-25T13_47_00,29
2021-11-25T14_02_00,12
2021-11-25T14_17_00,29
2021-11-25T14_32_00,30
2021-11-25T14_47_00,29
2021-11-25T15_02_00,25
2021-11-25T15_17_00,23
2021-11-25T15_32_00,19
2021-11-25T15_47_00,20
2021-11-25T16_02_00,20
2021-11-25T16_17_00,17
2021-11-25T16_32_00,13
2021-11-25T16_47_00,9
2021-11-25T17_02_00,7
2021-11-25T17_17_00,8
2021-11-25T17_32_00,15
2021-11-25T17_47_00,23
2021-11-25T18_02_00,26
2021-11-25T18_17_00,23
2021-11-25T18_32_00,15
2021-11-25T18_47_00,20
2021-11-25T19_02_00,19
2021-11-25T19_17_00,18
2021-11-25T19_32_00,14
2021-11-25T19_47_00,17
2021-11-25T20_02_00,21
2021-11-25T20_17_00,29
2021-11-25T20_32_00,27
2021-11-25T20_47_00,37
2021-11-25T21_02_00,46
2021-11-25T21_17_00,57
2021-11-25T21_32_00,52
2021-11-25T21_47_00,8
2021-11-25T22_02_00,5
2021-11-25T22_17_00,5
2021-11-25T22_32_00,34
2021-11-25T22_47_00,31
2021-11-25T23_02_00,15
2021-11-25T23_17_00,5
2021-11-25T23_32_00,14
2021-11-25T23_47_00,19
2021-11-26T00_02_00,26
2021-11-26T00_17_00,22
2021-11-26T00_32_00,17
2021-11-26T00_47_00,15
2021-11-26T01_02_00,14
2021-11-26T01_17_00,8
2021-11-26T01_32_00,8
2021-11-26T01_47_00,8
2021-11-26T02_02_00,7
2021-11-26T02_17_00,7
2021-11-26T02_32_00,5
2021-11-26T02_47_00,3
2021-11-26T03_02_00,7
2021-11-26T03_17_00,8
2021-11-26T03_32_00,7
2021-11-26T03_47_00,9
2021-11-26T04_02_00,12
2021-11-26T04_17_00,15
2021-11-26T04_32_00,17
2021-11-26T04_47_00,15
2021-11-26T05_02_00,15
2021-11-26T05_17_00,16
2021-11-26T05_32_00,11
2021-11-26T05_47_00,9
2021-11-26T06_02_00,13
2021-11-26T06_17_00,16
2021-11-26T06_32_00,17
2021-11-26T06_47_00,10
2021-11-26T07_02_00,17
2021-11-26T07_17_00,16
2021-11-26T07_32_00,18
2021-11-26T07_47_00,21
2021-11-26T08_02_00,13
2021-11-26T08_17_00,22
2021-11-26T08_32_00,23
2021-11-26T08_47_00,23
2021-11-26T09_02_00,22
2021-11-26T09_17_00,21
2021-11-26T09_32_00,24
2021-11-26T09_47_00,25
2021-11-26T10_02_00,20
2021-11-26T10_17_00,27
2021-11-26T10_32_00,28
2021-11-26T10_47_00,29
2021-11-26T11_02_00,30
2021-11-26T11_17_00,27
2021-11-26T11_32_00,29
2021-11-26T11_47_00,29
2021-11-26T12_02_00,33
2021-11-26T12_17_00,36
2021-11-26T12_32_00,34
2021-11-26T12_47_00,38
2021-11-26T13_02_00,37
2021-11-26T13_17_00,32
2021-11-26T13_32_00,29
2021-11-26T13_47_00,26
2021-11-26T14_02_00,27
2021-11-26T14_17_00,27
2021-11-26T14_32_00,25
2021-11-26T14_47_00,25
2021-11-26T15_02_00,25
2021-11-26T15_17_00,22
2021-11-26T15_32_00,29
2021-11-26T15_47_00,27
2021-11-26T16_02_00,25
2021-11-26T16_17_00,23
2021-11-26T16_32_00,21
2021-11-26T16_47_00,23
2021-11-26T17_02_00,24
2021-11-26T17_17_00,21
2021-11-26T17_32_00,25
2021-11-26T17_47_00,28
2021-11-26T18_02_00,30
2021-11-26T18_17_00,27
2021-11-26T18_32_00,24
2021-11-26T18_47_00,25
2021-11-26T19_02_00,25
2021-11-26T19_17_00,24
2021-11-26T19_32_00,23
2021-11-26T19_47_00,22
2021-11-26T20_02_00,21
2021-11-26T20_17_00,18
2021-11-26T20_32_00,17
2021-11-26T20_47_00,17
2021-11-26T21_02_00,19
2021-11-26T21_17_00,19
2021-11-26T21_32_00,18
2021-11-26T21_47_00,14
2021-11-26T22_02_00,14
2021-11-26T22_17_00,16
2021-11-26T22_32_00,19
2021-11-26T22_47_00,19
2021-11-26T23_02_00,14
2021-11-26T23_17_00,10
2021-11-26T23_32_00,9
2021-11-26T23_47_00,11
2021-11-27T00_02_00,11
2021-11-27T00_17_00,8
2021-11-27T00_32_00,6
2021-11-27T00_47_00,6
2021-11-27T01_02_00,4
2021-11-27T01_17_00,1
2021-11-27T01_32_00,1
2021-11-27T01_47_00,1
2021-11-27T02_02_00,1
