Timestamp,Counts (50%)
2021-11-24T23_17_29,6
2021-11-24T23_32_29,7
2021-11-24T23_47_29,8
2021-11-25T00_02_29,7
2021-11-25T00_17_29,6
2021-11-25T00_32_29,6
2021-11-25T00_47_29,6
2021-11-25T01_02_29,5
2021-11-25T01_17_29,4
2021-11-25T01_32_29,4
2021-11-25T01_47_29,5
2021-11-25T02_02_29,2
2021-11-25T02_17_29,3
2021-11-25T02_32_29,3
2021-11-25T03_02_29,4
2021-11-25T03_17_29,6
2021-11-25T03_32_29,7
2021-11-25T03_47_29,5
2021-11-25T04_02_29,8
2021-11-25T04_17_29,10
2021-11-25T04_32_29,11
2021-11-25T04_47_29,11
2021-11-25T05_02_29,9
2021-11-25T05_17_29,4
2021-11-25T05_32_29,4
2021-11-25T05_47_29,1
2021-11-25T06_02_29,13
2021-11-25T06_17_29,19
2021-11-25T06_32_29,21
2021-11-25T06_47_29,23
2021-11-25T07_02_29,24
2021-11-25T07_17_29,28
2021-11-25T07_32_29,29
2021-11-25T07_47_29,28
2021-11-25T08_02_29,28
2021-11-25T08_17_30,28
2021-11-25T08_32_30,31
2021-11-25T08_47_30,31
2021-11-25T09_02_30,32
2021-11-25T09_17_30,30
2021-11-25T10_02_30,29
2021-11-25T10_17_30,30
2021-11-25T10_32_30,28
2021-11-25T10_47_30,29
2021-11-25T11_02_30,29
2021-11-25T11_17_30,29
2021-11-25T11_32_30,17
2021-11-25T11_47_30,25
2021-11-25T12_02_30,25
2021-11-25T12_17_30,15
2021-11-25T12_32_30,25
2021-11-25T12_47_30,26
2021-11-25T13_02_30,32
2021-11-25T13_17_30,35
2021-11-25T13_32_30,32
2021-11-25T13_47_30,30
2021-11-25T14_02_30,14
2021-11-25T14_17_30,32
2021-11-25T14_32_30,32
2021-11-25T14_47_30,30
2021-11-25T15_02_30,29
2021-11-25T15_17_30,24
2021-11-25T15_32_30,24
2021-11-25T15_47_30,21
2021-11-25T16_02_30,21
2021-11-25T16_17_30,19
2021-11-25T16_32_30,16
2021-11-25T16_47_30,15
2021-11-25T17_02_30,9
2021-11-25T17_17_30,9
2021-11-25T17_32_30,19
2021-11-25T17_47_30,23
2021-11-25T18_02_30,22
2021-11-25T18_17_30,21
2021-11-25T18_32_30,18
2021-11-25T18_47_30,20
2021-11-25T19_02_30,19
2021-11-25T19_17_30,18
2021-11-25T19_32_30,16
2021-11-25T19_47_30,18
2021-11-25T20_02_30,26
2021-11-25T20_17_30,34
